,gtfs_stop_id,gtfs_route_id,gtfs_ZDEr_ID_REF_A,gtfs_dest_name,gtfs_stop_name,osm_stop_id,gtfs_agency_name,osm_osm:ref:FR:STIF:ExternalCode_Line,osm_osm:ref:FR:STIF,osm_destination,osm_name
0,StopPoint:4:130,002002002:CEN,9870,Villeneuve-le-roi Gare RER,Jeanne d'Arc,StopPoint:Node:5401678640,Keolis Seine Val-De-Marne,002002002:CEN,9870,Gare de Villeneuve-le-Roi,Place Jeanne d'Arc
1,StopPoint:4:134,002002002:CEN,10291,Villeneuve-le-roi Gare RER,Louis Jarrige,StopPoint:Node:4324200432,Keolis Seine Val-De-Marne,002002002:CEN,10291,Gare de Villeneuve-le-Roi,Louis Jarrige
13,StopPoint:4:104,002002009:9,415223,E. Levasseur,Rue Tortue,StopPoint:Node:5443966643,Keolis Seine Val-De-Marne,002002009:9,415223,Levasseur (Thiais),Rue Tortue
14,StopPoint:4:105,002002009:9,415226,Centre Commercial Pont de Vitry,Rue Tortue,StopPoint:Node:5443966647,Keolis Seine Val-De-Marne,002002009:9,415226,Centre Commercial - Pont de Vitry,Rue Tortue
15,StopPoint:4:45,002002009:9,415252,E. Levasseur,8 Mai 1945,StopPoint:Node:5443966650,Keolis Seine Val-De-Marne,002002009:9,415252,Levasseur (Thiais),8 Mai 1945
16,StopPoint:4:94,002002009:9,37277,E. Levasseur,Charles Heller,StopPoint:Node:5443966636,Keolis Seine Val-De-Marne,002002009:9,37277,Levasseur (Thiais),Charles Heller
17,StopPoint:4:95,002002009:9,37278,Centre Commercial Pont de Vitry,Charles Heller,StopPoint:Node:5443966640,Keolis Seine Val-De-Marne,002002009:9,37278,Centre Commercial - Pont de Vitry,Charles Heller
18,StopPoint:48:5250,003003018:18,16341,Gare de Torcy,Gare de Torcy,StopPoint:Node:2401892010,Stigo,003003018:18,16341,Gare de Tournan,Torcy RER
21,StopPoint:48:5387,003351504:A,16423,Centre Commercial,Anne Frank,StopPoint:Node:5392631019,Sit'bus,003351504:A,16423,Centre Commercial (Pontault-Combault),Anne Frank
22,StopPoint:48:5388,003351504:A,16424,Gare d'Ozoir,Anne Frank,StopPoint:Node:5392632050,Sit'bus,003351504:A,16424,Gare d'Ozoir-la-Ferrière,Anne Frank
24,StopPoint:57:280,006006002:2,11296,Gare de Massy Palaiseau B,LFB,StopPoint:Node:664269945,Mobicaps,006006002:2,11296,Gare de Massy-Palaiseau,LFB
25,StopPoint:57:281,006006002:2,11297,Centre Commercial Ulis 2 - Piscine,LFB,StopPoint:Node:664269944,Mobicaps,006006002:2,11297,Centre Commercial Ulis 2,LFB
26,StopPoint:57:370,006006002:2,11310,Gare de Massy Palaiseau B,Rond-Point de Mondétour,StopPoint:Node:1345578401,Mobicaps,006006002:2,11310,Gare de Massy-Palaiseau,Rond Point de Mondétour
27,StopPoint:57:391,006006002:2,11315,Centre Commercial Ulis 2 - Piscine,Bathes,StopPoint:Node:1633194367,Mobicaps,006006002:2,11315,Centre Commercial Ulis 2,Bathes
