,gtfs_stop_id,gtfs_route_id,gtfs_ZDEr_ID_REF_A,gtfs_dest_name,gtfs_stop_name,osm_stop_id,gtfs_agency_name,osm_osm:ref:FR:STIF:ExternalCode_Line,osm_osm:ref:FR:STIF,osm_destination,osm_name
0,StopPoint:4:130,002002002:CEN,9870,Villeneuve-le-roi Gare RER,Jeanne d'Arc,StopPoint:Node:5401678640,Keolis Seine Val-De-Marne,002002002:CEN,9870,Gare de Villeneuve-le-Roi,Place Jeanne d'Arc
1,StopPoint:4:134,002002002:CEN,10291,Villeneuve-le-roi Gare RER,Louis Jarrige,StopPoint:Node:4324200432,Keolis Seine Val-De-Marne,002002002:CEN,10291,Gare de Villeneuve-le-Roi,Louis Jarrige
20,StopPoint:4:47,002002003:3,2682,Villeneuve St Georges Gare RER,Général Leclerc,StopPoint:Node:5443966641,Keolis Seine Val-De-Marne,002002003:3,2682,Gare de Villeneuve-Saint-Georges,Général Leclerc
21,StopPoint:4:48,002002003:3,2660,Choisy-le-roi Gare RER,Général Leclerc,StopPoint:Node:473831582,Keolis Seine Val-De-Marne,002002003:3,2660,Gare de Choisy-Le-Roi,Général Leclerc
23,StopPoint:4:77,002002003:3,2661,Villeneuve St Georges Gare RER,Guy Moquet,StopPoint:Node:383589196,Keolis Seine Val-De-Marne,002002003:3,2661,Gare de Villeneuve-Saint-Georges,Guy Môquet
24,StopPoint:4:100,002002009:9,415234,E. Levasseur,Passerelle,StopPoint:Node:5443966634,Keolis Seine Val-De-Marne,002002009:9,415234,Levasseur (Thiais),Passerelle
25,StopPoint:4:101,002002009:9,415237,Centre Commercial Pont de Vitry,Passerelle,StopPoint:Node:5443966638,Keolis Seine Val-De-Marne,002002009:9,415237,Centre Commercial - Pont de Vitry,Passerelle
26,StopPoint:4:102,002002009:9,37275,E. Levasseur,Pont de Vitry,StopPoint:Node:5443966652,Keolis Seine Val-De-Marne,002002009:9,37275,Levasseur (Thiais),Pont de Vitry
27,StopPoint:4:103,002002009:9,26793,Centre Commercial Pont de Vitry,Pont de Vitry,StopPoint:Node:5443966631,Keolis Seine Val-De-Marne,002002009:9,26793,Centre Commercial - Pont de Vitry,Pont de Vitry
28,StopPoint:4:104,002002009:9,415223,E. Levasseur,Rue Tortue,StopPoint:Node:5443966643,Keolis Seine Val-De-Marne,002002009:9,415223,Levasseur (Thiais),Rue Tortue
29,StopPoint:4:105,002002009:9,415226,Centre Commercial Pont de Vitry,Rue Tortue,StopPoint:Node:5443966647,Keolis Seine Val-De-Marne,002002009:9,415226,Centre Commercial - Pont de Vitry,Rue Tortue
30,StopPoint:4:45,002002009:9,415252,E. Levasseur,8 Mai 1945,StopPoint:Node:5443966650,Keolis Seine Val-De-Marne,002002009:9,415252,Levasseur (Thiais),8 Mai 1945
31,StopPoint:4:46,002002009:9,36149,Centre Commercial Pont de Vitry,8 Mai 1945,StopPoint:Node:5443966639,Keolis Seine Val-De-Marne,002002009:9,36149,Centre Commercial - Pont de Vitry,8 Mai 1945
32,StopPoint:4:47,002002009:9,2682,E. Levasseur,Général Leclerc,StopPoint:Node:5443966641,Keolis Seine Val-De-Marne,002002009:9,2682,Levasseur (Thiais),Général Leclerc
