route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
067067003:Fs,372,"Fs","Fs","",3,,000000,FFFFFF
067067003:F,372,"F","F","",3,,5D7EBA,0
067167006:G,372,"G","G","",3,,B7D4B4,0
067167009:I,372,"I","I","",3,,C51F55,FFFFFF
067167004:H,372,"H","H","",3,,0A6591,FFFFFF
067167003:Es,372,"Es","Es","",3,,000000,FFFFFF
067167001:B,372,"B","B","",3,,00A664,FFFFFF
067167002:A,372,"A","A","",3,,00ADEC,0
067067005:C,372,"C","C","",3,,2F5F93,FFFFFF
067167003:E,372,"E","E","",3,,000000,FFFFFF
067167008:D,372,"D","D","",3,,B17FAA,0
067167010:Ns,372,"Ns","Ns","",3,,000000,FFFFFF
067167010:N,372,"N","N","",3,,000000,FFFFFF
067167005:O,372,"O","O","",3,,FAB657,0
067067002:Qs,372,"Qs","Qs","",3,,000000,FFFFFF
067167005:Os,372,"Os","Os","",3,,000000,FFFFFF
067067020:Ms,372,"Ms","Ms","",3,,000000,FFFFFF
067067002:Js,372,"Js","Js","",3,,F4A3AD,0
067067002:J,372,"J","J","",3,,F4A3AD,0
067067017:L,372,"L","L","",3,,BA7EB3,0
067067020:M,372,"M","M","",3,,16A5DE,0
067067017:Ls,372,"Ls","Ls","",3,,000000,FFFFFF
254177100:100,955,"100","100","",3,,1AC7FF,0
287191100:191-100,822,"191-100","Express 191-100","",3,,1AC7FF,0
287094001:GOCparis,822,"GO Cparis","GO C PARIS","",3,,FFC20A,0
503503001:Beauvais,947,"Beauvais","Navette Paris-Beauvais","",3,,000000,FFFFFF
057314100:100,95,"100","Express 100 Les Mureaux St Quentin","",3,,1AC7FF,0
057314142:ExpA14,95,"Exp A14","Express A14 Les Mureaux","",3,,1AC7FF,0
057314143:ExpA14,95,"Exp A14","Express A14 Verneuil","",3,,1AC7FF,0
116295008:FILEOFO,319,"FILEO FO","Fileo Fosses (sur réservation)","",3,,003BD1,FFFFFF
116295003:FILEOG,319,"FILEO G","Fileo Goussainville (sur réservation)","",3,,76B82A,0
116277005:FILEOO,319,"FILEO O","Fileo Othis (sur réservation)","",3,,FBBA07,0
116295032:32,319,"32","32","",3,,BDCD00,0
116193100:100C,914,"100C","100","",3,,1AC7FF,0
116195100:100P,758,"100P","Express 100","",3,,1AC7FF,0
116295027:27,319,"27","27","",3,,F7BED2,0
116277010:FILEOV,319,"FILEO V","Fileo Villeparisis (sur réservation)","",3,,003BD1,FFFFFF
116295004:FILEOVB,319,"FILEO VB","Fileo Villiers le Bel (sur réservation)","",3,,E582AE,0
116931007:FILEOVE,319,"FILEO VE","Fileo Villepinte (sur réservation)","",3,,003BD1,FFFFFF
116931002:FILEOT,319,"FILEO T","Fileo Tremblay (sur réservation)","",3,,003BD1,FFFFFF
116295001:FILEOS,319,"FILEO S","Fileo Sarcelles (sur réservation)","",3,,0058A2,FFFFFF
116931006:FILEOSL,319,"FILEO SL","Fileo Sevran (sur réservation)","",3,,003BD1,FFFFFF
116277009:FILEOSP,319,"FILEO SP","Fileo Saint-Pathus (sur réservation)","",3,,D90912,FFFFFF
251195042:95-42,758,"95-42","95-42","",3,,8BBFC2,0
251195043:95-43,758,"95-43","95-43","",3,,B0B7C7,0
251195041:95-41,758,"95-41","95-41","",3,,005468,FFFFFF
251195004:95-04,758,"95-04","95-04","",3,,1AC7FF,0
251195011:95-11,758,"95-11","95-11","",3,,BA0055,FFFFFF
251195047:95-47,758,"95-47","95-47","",3,,577C60,FFFFFF
251195048:95-48,758,"95-48","95-48","",3,,883A14,FFFFFF
251195046:95-46,758,"95-46","95-46","",3,,928D14,FFFFFF
251195044:95-44,758,"95-44","95-44","",3,,D7BDA4,0
251195045:95-45,758,"95-45","95-45","",3,,928D14,FFFFFF
350350005:E,584,"E","E","",3,,ED6B6A,0
350350027:F,584,"F","F","",3,,00903E,FFFFFF
350350028:G,584,"G","G","",3,,E6007E,FFFFFF
350350030:A,584,"A","A","",3,,E30613,FFFFFF
350350003:C,584,"C","C","",3,,20124E,FFFFFF
350350004:D,584,"D","D","",3,,4599AE,0
350350012:M,584,"M","M","",3,,ECC500,0
350350024:X,584,"X","X","",3,,9D4800,FFFFFF
350350010:Z,584,"Z","Z","",3,,AFCA0B,0
350350009:I,584,"I","I","",3,,074BA3,FFFFFF
350350021:J,584,"J","J","",3,,9185BE,0
350350031:K,584,"K","K","",3,,D6707C,0
025195008:95-08,758,"95-08","95-08","",3,,00A6FF,0
025195012:95-12,758,"95-12","95-12","",3,,FF80FF,0
025195016:95-16,758,"95-16","95-16","",3,,CFA16B,0
025195005:95-05,758,"95-05","95-05","",3,,0000FF,FFFFFF
025195006:95-06,758,"95-06","95-06","",3,,B36B24,FFFFFF
025195007:95-07,758,"95-07","95-07","",3,,BFFF00,0
025195033:95-33,758,"95-33","95-33","",3,,00FFB3,0
025195034:95-34,758,"95-34","95-34","",3,,00E84F,0
025195035:95-35,758,"95-35","95-35","",3,,FFA61A,0
025195017:95-17,758,"95-17","95-17","",3,,00FF00,0
025195031:95-31,758,"95-31","95-31","",3,,D978FF,0
025195032:95-32,758,"95-32","95-32","",3,,FF3399,0
244244001:EXPA14B,95,"EXP A14 B","EXPRESS A14 BONNIERES","",3,,000000,FFFFFF
244244001:EXPA14C,95,"EXP A14 C","EXPRESS A14 CHAMBOURCY","",3,,000000,FFFFFF
244244001:EXPA14M,95,"EXP A14 M","EXPRESS A14 MANTES","",3,,000000,FFFFFF
231231001:CDG,750,"CDG","Magical Shuttle CDG","",3,,1AC7FF,0
231231001:Orly,750,"Orly","Magical Shuttle Orly","",3,,1AC7FF,0
231231001:Selected,750,"Selected","Magical Shuttle Selected","",3,,1AC7FF,0
057057015:15,302,"15","15","",3,,C51F57,FFFFFF
057057016:16,302,"16","16","",3,,E60E57,FFFFFF
057057109:109,302,"109","109","",3,,F7A400,0
057057110:110,302,"110","110","",3,,FFDF00,0
057057019:19,302,"19","19","",3,,DC9DC6,0
057057020:20,302,"20","20","",3,,B899C8,0
057057017:17,302,"17","17","",3,,00669C,FFFFFF
057057018:18,302,"18","18","",3,,66B658,0
057057010:10,302,"10","10","",3,,E73747,FFFFFF
057057023:02B,302,"02B","02B - Freneuse - Mantes-la-Jolie","",3,,0E8B6F,FFFFFF
057057024:02C,302,"02C","02C - Freneuse - Rosny-sur-Seine Collège Sully","",3,,BB71A9,0
057057001:01,302,"01","01","",3,,4AA631,FFFFFF
057057002:02A,302,"02A","02A - Bonnières-sur-Seine - Mantes-la-Jolie","",3,,008ECF,FFFFFF
057057007:07,302,"07","07","",3,,FFD100,0
